NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT05170828,Cryopreserved MMUD BM With PTCy for Hematologic Malignancies,https://clinicaltrials.gov/study/NCT05170828,WITHDRAWN,Acute Leukemia|Myelodysplastic Syndromes|T-lymphoblastic Lymphoma|Acute Lymphocytic Leukemia|Acute Myeloid Leukemia|Acute Biphenotypic Leukemia|Acute Undifferentiated Leukemia,DRUG: Cyclophosphamide|DRUG: Fludarabine|RADIATION: Total Body Irradiation|DRUG: Busulfan|DRUG: Mesna|DRUG: Sirolimus|DRUG: Mycophenolate Mofetil|DRUG: Filgrastim|DRUG: Cyclophosphamide|PROCEDURE: Bone Marrow Transplant,"Ossium Health, Inc.",Center for International Blood and Marrow Transplant Research,INTERVENTIONAL
NCT01881334,Expanded Access to T-cell Depleted Haplo-Identical Stem Cells for Patients Receiving Haplo-Identical and Unrelated Cord Blood Transplants,https://clinicaltrials.gov/study/NCT01881334,AVAILABLE,Hematologic Malignancies|Inborn Errors of Metabolism Disorders|Immune Deficiencies,BIOLOGICAL: CliniMACS CD34 Reagent System,"Joanne Kurtzberg, MD","Duke University|Miltenyi Biotec, Inc.",EXPANDED_ACCESS
NCT00008216,Blood Stem Cell Transplant in Treating Patients With Hematologic Cancer,https://clinicaltrials.gov/study/NCT00008216,TERMINATED,Adult Langerhans Cell Histiocytosis|Childhood Langerhans Cell Histiocytosis|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms,PROCEDURE: Peripheral Blood Stem Cell Transplantation,Columbia University,National Cancer Institute (NCI),OBSERVATIONAL
NCT00827099,"Umbilical Cord Blood (UCB) Transplant, Fludarabine, Melphalan, and Anti-thymocyte Globulin (ATG) in Treating Patients With Hematologic Cancer",https://clinicaltrials.gov/study/NCT00827099,TERMINATED,Myeloproliferative Disorders|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes,BIOLOGICAL: anti-thymocyte globulin|DRUG: fludarabine phosphate|DRUG: Melphalan|DRUG: mycophenolate mofetil|DRUG: tacrolimus|PROCEDURE: umbilical cord blood transplantation,"Northside Hospital, Inc.",,INTERVENTIONAL
NCT01810120,Trial to Assess the Efficacy of a TCR Alfa Beta Depleted Graft in Pediatric Affected by ALL or AML and Receiving an HSCT,https://clinicaltrials.gov/study/NCT01810120,COMPLETED,Acute Lymphoblastic Leukemia|Leukemia Acute Myeloid - AML|Non-Hodgkin Lymphoma|Myelodysplastic Syndromes,BIOLOGICAL: TCR alfa beta T cell depletion,Mariella Enoc,,INTERVENTIONAL
NCT05987605,Phase I/II Clinical Study of 1A46 Drug Substance,https://clinicaltrials.gov/study/NCT05987605,TERMINATED,Advanced Malignancies,DRUG: 1A46 Drug Substance,"BioRay Pharmaceutical Co., Ltd.",,INTERVENTIONAL
NCT01769209,Bortezomib and Combination Chemotherapy in Treating Patients With Relapsed or Refractory Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT01769209,COMPLETED,B-cell Adult Acute Lymphoblastic Leukemia (ALL)|Ph-positive Adult Acute Lymphoblastic Leukemia (ALL)|Recurrent Adult Acute Lymphoblastic Leukemia (ALL)|T-cell Adult Acute Lymphoblastic Leukemia (ALL),DRUG: Bortezomib|DRUG: Doxorubicin hydrochloride (HCl)|DRUG: PEG-Asparaginase|DRUG: Vincristine sulfate|DRUG: Dexamethasone|DRUG: Cytarabine|DRUG: Methotrexate,Stanford University,National Cancer Institute (NCI),INTERVENTIONAL
NCT00005590,Levofloxacin to Prevent Infection Following Chemotherapy in Treating Patients With Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT00005590,COMPLETED,"Brain and Central Nervous System Tumors|Breast Cancer|Extragonadal Germ Cell Tumor|Infection|Lung Cancer|Lymphoma|Ovarian Cancer|Small Intestine Cancer|Testicular Germ Cell Tumor|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: levofloxacin,Cancer Research Campaign Clinical Trials Centre,,INTERVENTIONAL
NCT02535364,Study Evaluating the Efficacy and Safety of JCAR015 in Adult B-cell Acute Lymphoblastic Leukemia (B-ALL),https://clinicaltrials.gov/study/NCT02535364,TERMINATED,Acute Lymphoblastic Leukemia,BIOLOGICAL: JCAR015 (CD19-targeted CAR T cells),"Juno Therapeutics, a Subsidiary of Celgene",,INTERVENTIONAL
NCT05334823,A Study of pCAR-19B in the Treatment of CD19-positive Relapsed/Refractory B-ALL in Children and Adolescents,https://clinicaltrials.gov/study/NCT05334823,RECRUITING,Acute Lymphoblastic Leukemia|Relapsed Pediatric ALL|Refractory Acute Lymphoblastic Leukemia,BIOLOGICAL: pCAR-19B cells,"Chongqing Precision Biotech Co., Ltd",,INTERVENTIONAL
NCT00104923,Fenretinide in Treating Patients With Refractory or Relapsed Hematologic Cancer,https://clinicaltrials.gov/study/NCT00104923,COMPLETED,Chronic Myeloproliferative Disorders|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm,DRUG: fenretinide,California Cancer Consortium,National Cancer Institute (NCI),INTERVENTIONAL
NCT04888468,Phase I Study of pCAR-19B in the Treatment of CD19-positive Relapsed/Refractory B-ALL in Children and Adolescents,https://clinicaltrials.gov/study/NCT04888468,COMPLETED,Acute Lymphoblastic Leukemia|Relapsed Pediatric ALL|Refractory Acute Lymphoblastic Leukemia,BIOLOGICAL: pCAR-19B cells,"Chongqing Precision Biotech Co., Ltd",,INTERVENTIONAL
NCT02220985,Selective Depletion of CD45RA+ T Cells From Allogeneic Peripheral Blood Stem Cell Grafts From HLA-Matched Related and Unrelated Donors in Preventing GVHD,https://clinicaltrials.gov/study/NCT02220985,COMPLETED,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Acute Biphenotypic Leukemia|Acute Leukemia of Ambiguous Lineage|Acute Undifferentiated Leukemia|Allogeneic Hematopoietic Stem Cell Transplant Recipient|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Blastic Plasmacytoid Dendritic Cell Neoplasm|Childhood Acute Lymphoblastic Leukemia in Remission|Childhood Acute Myeloid Leukemia in Remission|Donor|Lymphoblastic Lymphoma|Myelodysplastic Syndrome With Excess Blasts|Myelodysplastic Syndrome With Excess Blasts-1|Myelodysplastic Syndrome With Excess Blasts-2|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Childhood Acute Lymphoblastic Leukemia|Recurrent Childhood Acute Myeloid Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Acute Lymphoblastic Leukemia in Remission|Acute Myeloid Leukemia in Remission",PROCEDURE: Allogeneic Hematopoietic Stem Cell Transplantation|DRUG: Cyclophosphamide|DRUG: Fludarabine Phosphate|OTHER: Laboratory Biomarker Analysis|DRUG: Methotrexate|DRUG: Mycophenolate Mofetil|PROCEDURE: Peripheral Blood Stem Cell Transplantation|PROCEDURE: Peripheral Blood Stem Cell Transplantation|DRUG: Tacrolimus|DRUG: Thiotepa|RADIATION: Total-Body Irradiation,Fred Hutchinson Cancer Center,"National Cancer Institute (NCI)|National Heart, Lung, and Blood Institute (NHLBI)",INTERVENTIONAL
NCT04888442,Phase I Study of pCAR-19B in the Treatment of Adult CD19-positive Relapsed/Refractory B-ALL,https://clinicaltrials.gov/study/NCT04888442,UNKNOWN,"Acute Lymphoblastic Leukemia, in Relapse|Refractory Acute Lymphoblastic Leukemia",BIOLOGICAL: pCAR-19B cells,"Chongqing Precision Biotech Co., Ltd",,INTERVENTIONAL
NCT00504205,MP470 in Treating Patients With Unresectable or Metastatic Solid Tumor or Lymphoma,https://clinicaltrials.gov/study/NCT00504205,TERMINATED,"Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: multitargeted receptor tyrosine kinase inhibitor MP470|OTHER: laboratory biomarker analysis|OTHER: pharmacological study|PROCEDURE: positron emission tomography,"Astex Pharmaceuticals, Inc.",,INTERVENTIONAL
NCT00023816,Carbendazim in Treating Patients With Advanced Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT00023816,UNKNOWN,"Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: carbendazim,Jonsson Comprehensive Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00085449,"Alemtuzumab Plus Fludarabine and Melphalan With or Without Cyclosporine, Mycophenolate Mofetil, and Low-Dose Total-Body Irradiation Therapy Followed by Donor Peripheral Stem Cell Transplant in Treating Patients With Hematologic Cancer",https://clinicaltrials.gov/study/NCT00085449,WITHDRAWN,Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms,BIOLOGICAL: alemtuzumab|DRUG: cyclosporine|DRUG: fludarabine phosphate|DRUG: melphalan|DRUG: mycophenolate mofetil|PROCEDURE: peripheral blood stem cell transplantation|RADIATION: radiation therapy,Alliance for Clinical Trials in Oncology,National Cancer Institute (NCI),INTERVENTIONAL
NCT01273090,Imetelstat Sodium in Treating Young Patients With Refractory or Recurrent Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT01273090,COMPLETED,"Brain and Central Nervous System Tumors|Lymphoma|Lymphoproliferative Disorder|Small Intestine Cancer|Unspecified Childhood Solid Tumor, Protocol Specific",DRUG: imetelstat sodium|OTHER: laboratory biomarker analysis|OTHER: pharmacological study,Children's Oncology Group,National Cancer Institute (NCI),INTERVENTIONAL
NCT00006225,Peripheral Stem Cell Transplantation in Treating Patients With Breast Cancer or Hematologic Cancer,https://clinicaltrials.gov/study/NCT00006225,COMPLETED,Breast Cancer|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic/Myeloproliferative Diseases,BIOLOGICAL: filgrastim|BIOLOGICAL: recombinant flt3 ligand|BIOLOGICAL: recombinant human thrombopoietin|BIOLOGICAL: recombinant interleukin-3|PROCEDURE: in vitro-treated peripheral blood stem cell transplantation,Northwestern University,,INTERVENTIONAL
NCT00004075,17-N-Allylamino-17-Demethoxygeldanamycin in Treating Patients With Solid Tumors That Cannot Be Removed By Surgery,https://clinicaltrials.gov/study/NCT00004075,COMPLETED,"Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: tanespimycin,Mayo Clinic,National Cancer Institute (NCI),INTERVENTIONAL
NCT00866671,Observational Study of Nelarabine in Children and Young Adults,https://clinicaltrials.gov/study/NCT00866671,COMPLETED,"Leukaemia, Lymphoblastic, Acute",DRUG: nelarabine,GlaxoSmithKline,,OBSERVATIONAL
NCT01118013,Donor Stem Cell Transplant in Treating Patients With Relapsed Hematologic Malignancies or Secondary Myelodysplasia Previously Treated With High-Dose Chemotherapy and Autologous Stem Cell Transplant,https://clinicaltrials.gov/study/NCT01118013,TERMINATED,Leukemia|Lymphoma|Lymphoproliferative Disorder|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasms,BIOLOGICAL: anti-thymocyte globulin|BIOLOGICAL: donor lymphocytes|BIOLOGICAL: filgrastim|BIOLOGICAL: therapeutic allogeneic lymphocytes|DRUG: busulfan|DRUG: fludarabine phosphate|DRUG: methotrexate|DRUG: mycophenolate mofetil|DRUG: tacrolimus|OTHER: reduced-intensity transplant conditioning procedure|PROCEDURE: allogeneic hematopoietic stem cell transplantation|PROCEDURE: peripheral blood stem cell transplantation,Alliance for Clinical Trials in Oncology,National Cancer Institute (NCI),INTERVENTIONAL
NCT02793544,HLA-Mismatched Unrelated Donor Bone Marrow Transplantation With Post-Transplantation Cyclophosphamide,https://clinicaltrials.gov/study/NCT02793544,COMPLETED,Myelodysplastic Syndrome (MDS)|Chronic Lymphocytic Leukemia (CLL)|Chemotherapy-sensitive Lymphoma|Acute Lymphoblastic Leukemia (ALL)/T Lymphoblastic Lymphoma|Acute Myelogenous Leukemia (AML)|Acute Biphenotypic Leukemia (ABL)|Acute Undifferentiated Leukemia (AUL),"DRUG: Fludarabine|DRUG: Cyclophosphamide 14.5 mg/kg/day IV on Days -6, -5|RADIATION: Total Body Irradiation (TBI) 200cGy on Day -1|PROCEDURE: Infusion of non-T-cell depleted bone marrow on Day 0|DRUG: Busulfan|DRUG: Cyclophosphamide 50mg/kg/day IV on Days -2,-1|DRUG: Cyclophosphamide 50mg/kg/day IV on Days -5,-4|RADIATION: Total Body Irradiation (TBI) 200cGy twice a day on Days -3, -2, -1|DRUG: Post-HCT Cyclophosphamide 50mg/kg IV on Day+3, +4|DRUG: Sirolimus|DRUG: Mycophenolate mofetil|DRUG: G-CSF|DRUG: Pre-HCT Mesna on Days -6 and -5|DRUG: Pre-HCT Mesna on Days -2 and -1|DRUG: Pre-HCT Mesna on Days -5 and -4|DRUG: Post-HCT Mesna",Center for International Blood and Marrow Transplant Research,National Marrow Donor Program,INTERVENTIONAL
NCT00003116,High-Dose Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Hematologic Cancer,https://clinicaltrials.gov/study/NCT00003116,COMPLETED,Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Diseases,BIOLOGICAL: filgrastim|DRUG: busulfan|DRUG: cyclophosphamide|DRUG: cyclosporine|PROCEDURE: bone marrow ablation with stem cell support|PROCEDURE: peripheral blood stem cell transplantation,Case Comprehensive Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00044954,"Total-Body Irradiation, Fludarabine, and Peripheral Stem Cell Transplantation in Treating Patients With Hematologic Cancer",https://clinicaltrials.gov/study/NCT00044954,COMPLETED,Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Diseases,BIOLOGICAL: therapeutic allogeneic lymphocytes|DRUG: cyclosporine|DRUG: fludarabine phosphate|DRUG: mycophenolate mofetil|PROCEDURE: allogeneic bone marrow transplantation|PROCEDURE: peripheral blood stem cell transplantation|RADIATION: radiation therapy,University of Texas Southwestern Medical Center,,INTERVENTIONAL
NCT03195010,Management of Platelet Transfusion Therapy in Patients With Blood Cancer or Treatment-Induced Thrombocytopenia,https://clinicaltrials.gov/study/NCT03195010,TERMINATED,"Acute Biphenotypic Leukemia|Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia|B-Cell Non-Hodgkin Lymphoma|Chronic Lymphocytic Leukemia|Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematologic and Lymphocytic Disorder|Hematopoietic Cell Transplantation Recipient|Myelodysplastic Syndrome|Primary Myelofibrosis|Secondary Myelofibrosis|T-Cell Non-Hodgkin Lymphoma|Thrombocytopenia|Venous Thromboembolism",BIOLOGICAL: Platelet Transfusion|BIOLOGICAL: Platelet Transfusion,Fred Hutchinson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT01638533,"Romidepsin in Treating Patients With Lymphoma, Chronic Lymphocytic Leukemia, or Solid Tumors With Liver Dysfunction",https://clinicaltrials.gov/study/NCT01638533,COMPLETED,Glioma|Hematopoietic and Lymphoid Cell Neoplasm|Lymphoma|Metastatic Malignant Solid Neoplasm|Neuroendocrine Neoplasm|Recurrent Adult Soft Tissue Sarcoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Chronic Lymphocytic Leukemia|Recurrent Colorectal Carcinoma|Recurrent Head and Neck Carcinoma|Recurrent Lung Carcinoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Pancreatic Carcinoma|Recurrent Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Recurrent Prostate Carcinoma|Recurrent Renal Cell Carcinoma|Recurrent Thyroid Gland Carcinoma|Refractory Chronic Lymphocytic Leukemia|Refractory Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Refractory Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Stage III Breast Cancer AJCC v7|Stage III Colorectal Cancer AJCC v7|Stage III Cutaneous Melanoma AJCC v7|Stage III Lung Cancer AJCC v7|Stage III Pancreatic Cancer AJCC v6 and v7|Stage III Prostate Cancer AJCC v7|Stage III Renal Cell Cancer AJCC v7|Stage III Soft Tissue Sarcoma AJCC v7|Stage IIIA Breast Cancer AJCC v7|Stage IIIA Colorectal Cancer AJCC v7|Stage IIIA Cutaneous Melanoma AJCC v7|Stage IIIB Breast Cancer AJCC v7|Stage IIIB Colorectal Cancer AJCC v7|Stage IIIB Cutaneous Melanoma AJCC v7|Stage IIIC Breast Cancer AJCC v7|Stage IIIC Colorectal Cancer AJCC v7|Stage IIIC Cutaneous Melanoma AJCC v7|Stage IV Breast Cancer AJCC v6 and v7|Stage IV Colorectal Cancer AJCC v7|Stage IV Cutaneous Melanoma AJCC v6 and v7|Stage IV Lung Cancer AJCC v7|Stage IV Pancreatic Cancer AJCC v6 and v7|Stage IV Prostate Cancer AJCC v7|Stage IV Renal Cell Cancer AJCC v7|Stage IV Soft Tissue Sarcoma AJCC v7|Stage IVA Colorectal Cancer AJCC v7|Stage IVB Colorectal Cancer AJCC v7|Unresectable Solid Neoplasm,OTHER: Pharmacological Study|DRUG: Romidepsin,National Cancer Institute (NCI),Celgene Corporation,INTERVENTIONAL
NCT00453206,Donor Stem Cell Transplant in Treating Patients With Hematologic Cancer or Other Diseases,https://clinicaltrials.gov/study/NCT00453206,COMPLETED,Chronic Myeloproliferative Disorders|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes,PROCEDURE: allogeneic bone marrow transplantation|PROCEDURE: allogeneic hematopoietic stem cell transplantation|PROCEDURE: nonmyeloablative allogeneic hematopoietic stem cell transplantation|PROCEDURE: peripheral blood stem cell transplantation,Wake Forest University Health Sciences,,INTERVENTIONAL
NCT00019019,Carboxyamidotriazole and Paclitaxel in Treating Patients With Advanced Solid Tumors or Refractory Lymphomas,https://clinicaltrials.gov/study/NCT00019019,COMPLETED,"Brain and Central Nervous System Tumors|Breast Cancer|Kidney Cancer|Lung Cancer|Lymphoma|Melanoma (Skin)|Ovarian Cancer|Small Intestine Cancer|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: carboxyamidotriazole|DRUG: paclitaxel,National Institutes of Health Clinical Center (CC),National Cancer Institute (NCI),INTERVENTIONAL
NCT00621036,Vaccine Therapy and GM-CSF in Treating Patients With CNS Lymphoma,https://clinicaltrials.gov/study/NCT00621036,WITHDRAWN,Brain and Central Nervous System Tumors|Lymphoma|Lymphoproliferative Disorder|Small Intestine Cancer,BIOLOGICAL: autologous immunoglobulin idiotype-KLH conjugate vaccine|BIOLOGICAL: sargramostim|DRUG: methotrexate|DRUG: thiotepa|RADIATION: radiation therapy,University of Texas Southwestern Medical Center,,INTERVENTIONAL
NCT00003956,Combination Chemotherapy in Treating Patients With Advanced Cancer,https://clinicaltrials.gov/study/NCT00003956,COMPLETED,"Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: fluorouracil|DRUG: leucovorin calcium|DRUG: lonafarnib,Memorial Sloan Kettering Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00002862,Perillyl Alcohol in Treating Patients With Refractory Cancer,https://clinicaltrials.gov/study/NCT00002862,COMPLETED,"Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: perillyl alcohol,National Cancer Institute (NCI),,INTERVENTIONAL
NCT00352443,S0528 Lapatinib and Everolimus in Treating Patients With Advanced Solid Tumors or Non-Hodgkin's Lymphoma,https://clinicaltrials.gov/study/NCT00352443,COMPLETED,"Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: everolimus|DRUG: lapatinib ditosylate,SWOG Cancer Research Network,National Cancer Institute (NCI),INTERVENTIONAL
NCT03970096,Graft Versus Host Disease-Reduction Strategies for Donor Blood Stem Cell Transplant Patients With Acute Leukemia or Myelodysplastic Syndrome (MDS),https://clinicaltrials.gov/study/NCT03970096,RECRUITING,Acute Leukemia|Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia|Myelodysplastic Syndrome|Myeloproliferative Neoplasm,RADIATION: Total-Body Irradiation|DRUG: Thiotepa|DRUG: Fludarabine|DRUG: Tacrolimus|BIOLOGICAL: Allogeneic CD34+-enriched and CD45RA-depleted PBSCs|DRUG: Methotrexate|DRUG: Cyclophosphamide|BIOLOGICAL: Peripheral Blood Stem Cell|DRUG: Cyclosporine|DRUG: Sirolimus|DRUG: Busulfan|PROCEDURE: Bone Marrow Aspiration and Biopsy|PROCEDURE: Echocardiography|PROCEDURE: Multigated Acquisition Scan|PROCEDURE: Biospecimen Collection,Fred Hutchinson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT00002909,Phenylbutyrate in Treating Patients With Refractory Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT00002909,COMPLETED,"Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: chemotherapy|DRUG: oral sodium phenylbutyrate,National Cancer Institute (NCI),,INTERVENTIONAL
NCT00390117,AT7519M in Treating Patients With Advanced or Metastatic Solid Tumors or Refractory Non-Hodgkin's Lymphoma,https://clinicaltrials.gov/study/NCT00390117,COMPLETED,"Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: CDKI AT7519|OTHER: laboratory biomarker analysis,NCIC Clinical Trials Group,,INTERVENTIONAL
NCT03628053,Tisagenlecleucel vs Blinatumomab or Inotuzumab for Patients With Relapsed/Refractory B-cell Precursor Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT03628053,WITHDRAWN,Acute Lymphoblastic Leukemia,BIOLOGICAL: Tisagenlecleucel|DRUG: Blinatumomab|DRUG: Inotuzumab,Novartis Pharmaceuticals,,INTERVENTIONAL
NCT00004002,PS-341 in Treating Patients With Advanced Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT00004002,COMPLETED,"Lymphoma|Small Intestine Cancer|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: bortezomib,NYU Langone Health,National Cancer Institute (NCI),INTERVENTIONAL
NCT00296023,Donor Stem Cell Transplant in Treating Older or Frail Patients With Hematologic Cancer,https://clinicaltrials.gov/study/NCT00296023,COMPLETED,Chronic Myeloproliferative Disorders|Leukemia|Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm|Myelodysplastic Syndromes,BIOLOGICAL: anti-thymocyte globulin|BIOLOGICAL: filgrastim|BIOLOGICAL: therapeutic allogeneic lymphocytes|DRUG: busulfan|DRUG: fludarabine phosphate|DRUG: methotrexate|DRUG: tacrolimus|PROCEDURE: nonmyeloablative allogeneic hematopoietic stem cell transplantation|PROCEDURE: peripheral blood stem cell transplantation,"University of California, San Francisco",National Cancer Institute (NCI),INTERVENTIONAL
NCT06718244,Inaticabtagene Autoleucel (Inati-cel; CNCT19) Treatment for MRD-Positive B-ALL Patients in CR1,https://clinicaltrials.gov/study/NCT06718244,RECRUITING,Acute Lymphoblastic Leukemia,BIOLOGICAL: single dose of Inaticabtagene autoleucel,Ruijin Hospital,,INTERVENTIONAL
NCT00002946,Penclomedine in Treating Patients With Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT00002946,COMPLETED,"Lymphoma|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: penclomedine,National Cancer Institute (NCI),,INTERVENTIONAL
NCT00006340,Ganciclovir Plus Arginine Butyrate in Treating Patients With Cancer or Lymphoproliferative Disorders Associated With the Epstein Barr Virus,https://clinicaltrials.gov/study/NCT00006340,COMPLETED,Leukemia|Lymphoma|Precancerous Condition|Small Intestine Cancer,DRUG: arginine butyrate|DRUG: ganciclovir,Boston Medical Center,,INTERVENTIONAL
NCT01010217,Mismatched Transplantation Using High-dose Post-transplant Cyclophosphamide,https://clinicaltrials.gov/study/NCT01010217,COMPLETED,Blood Stem Cell Transplant Failure|Leukemia|Hematologic Malignancies,DRUG: Cyclophosphamide|DRUG: Fludarabine|DRUG: Melphalan|DRUG: Mesna|DRUG: Rituximab|PROCEDURE: Stem Cell Transplantation|DRUG: Thiotepa|DRUG: Tacrolimus|DRUG: Mycofenolate mofetil|DRUG: G-CSF,M.D. Anderson Cancer Center,,INTERVENTIONAL
NCT00734890,Vandetanib and Bevacizumab in Treating Patients With Advanced Solid Tumors or Lymphoma,https://clinicaltrials.gov/study/NCT00734890,COMPLETED,"Lung Cancer|Lymphoma|Lymphoproliferative Disorder|Small Intestine Cancer|Unspecified Adult Solid Tumor, Protocol Specific",BIOLOGICAL: bevacizumab|DRUG: vandetanib|OTHER: laboratory biomarker analysis|OTHER: pharmacological study,National Institutes of Health Clinical Center (CC),National Cancer Institute (NCI),INTERVENTIONAL
NCT00562380,AMG-479 in Treating Patients With Advanced Solid Tumors or Non-Hodgkin Lymphoma,https://clinicaltrials.gov/study/NCT00562380,COMPLETED,"Lymphoma|Prostate Cancer|Sarcoma|Small Intestine Cancer|Unspecified Adult Solid Tumor, Protocol Specific",BIOLOGICAL: ganitumab|OTHER: laboratory biomarker analysis|OTHER: pharmacological study|PROCEDURE: biopsy,Amgen,National Cancer Institute (NCI),INTERVENTIONAL
NCT00107354,"Cellular Adoptive Immunotherapy in Treating Patients With Acute Myeloid Leukemia, Acute Lymphoblastic Leukemia, or Myelodysplastic Syndromes That Relapsed After Donor Stem Cell Transplant",https://clinicaltrials.gov/study/NCT00107354,COMPLETED,Leukemia|Myelodysplastic Syndromes,BIOLOGICAL: aldesleukin|BIOLOGICAL: therapeutic allogeneic lymphocytes|BIOLOGICAL: therapeutic autologous lymphocytes|DRUG: cytarabine|DRUG: etoposide|DRUG: mitoxantrone hydrochloride|PROCEDURE: allogeneic bone marrow transplantation|PROCEDURE: peripheral blood stem cell transplantation,Fred Hutchinson Cancer Center,,INTERVENTIONAL
NCT05320380,A Study of the Drug IMGN632 in Children With Leukemia That Has Come Back After Treatment or is Difficult to Treat,https://clinicaltrials.gov/study/NCT05320380,WITHDRAWN,Recurrent Acute Myeloid Leukemia|Recurrent B Acute Lymphoblastic Leukemia|Recurrent Mixed Phenotype Acute Leukemia|Recurrent T Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory B Acute Lymphoblastic Leukemia|Refractory Mixed Phenotype Acute Leukemia|Refractory T Acute Lymphoblastic Leukemia,DRUG: Anti-CD123 ADC IMGN632|PROCEDURE: Bone Marrow Aspiration and Biopsy|DRUG: Cytarabine|DRUG: Fludarabine Phosphate|DRUG: Hydrocortisone Sodium Succinate|DRUG: Liposome-encapsulated Daunorubicin-Cytarabine|DRUG: Methotrexate|DRUG: Prednisolone,Children's Oncology Group,"ImmunoGen, Inc.|National Cancer Institute (NCI)",INTERVENTIONAL
NCT00019513,"Combination Chemotherapy in Treating Patients With Recurrent, Refractory, or Metastatic Solid Tumors or Lymphomas",https://clinicaltrials.gov/study/NCT00019513,COMPLETED,"Colorectal Cancer|Esophageal Cancer|Extrahepatic Bile Duct Cancer|Gallbladder Cancer|Liver Cancer|Lung Cancer|Lymphoma|Pancreatic Cancer|Small Intestine Cancer|Unspecified Adult Solid Tumor, Protocol Specific",DRUG: fluorouracil|DRUG: gemcitabine hydrochloride|DRUG: leucovorin calcium,National Institutes of Health Clinical Center (CC),National Cancer Institute (NCI),INTERVENTIONAL
